pair_index,c,d,shift,target_survival_count,target_survival_frequency,h_-720_persistent_covered,h_-720_survival_count,h_-720_survival_frequency,h_-360_persistent_covered,h_-360_survival_count,h_-360_survival_frequency,h_0_persistent_covered,h_0_survival_count,h_0_survival_frequency,h_360_persistent_covered,h_360_survival_count,h_360_survival_frequency,h_720_persistent_covered,h_720_survival_count,h_720_survival_frequency,mean_control_frequency_numerator,mean_control_frequency_denominator,mean_control_frequency_decimal,target_minus_mean_control_frequency_numerator,target_minus_mean_control_frequency_denominator,target_minus_mean_control_frequency_decimal,rank_target_survival_frequency,rank_target_excess_above_control_mean,rank_target_deficit_below_control_mean
74,4,6,15706,59,0.229571984435797665369649805447,0,62,0.241245136186770428015564202335,0,62,0.241245136186770428015564202335,0,59,0.229571984435797665369649805447,0,74,0.287937743190661478599221789883,0,67,0.260700389105058365758754863813,265,1028,0.257782101167315175097276264591,-29,1028,-0.0282101167315175097276264591440,141,324,81
75,4,7,78206,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,230,186,130
76,4,8,390706,0,0,0,72,0.280155642023346303501945525292,0,59,0.229571984435797665369649805447,1,0,0,0,69,0.268482490272373540856031128405,1,0,0,200,1028,0.194552529182879377431906614786,-50,257,-0.194552529182879377431906614786,231,364,43
77,4,9,1953206,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,232,187,131
78,4,10,9765706,0,0,0,68,0.264591439688715953307392996109,0,71,0.276264591439688715953307392996,1,0,0,1,0,0,0,65,0.252918287937743190661478599222,204,1028,0.198443579766536964980544747082,-51,257,-0.198443579766536964980544747082,233,369,38
79,4,11,48828206,58,0.225680933852140077821011673152,1,0,0,0,48,0.186770428015564202334630350195,0,58,0.225680933852140077821011673152,0,45,0.175097276264591439688715953307,0,51,0.198443579766536964980544747082,144,1028,0.140077821011673151750972762646,22,257,0.0856031128404669260700389105058,148,52,354
80,4,12,244140706,73,0.284046692607003891050583657588,0,78,0.303501945525291828793774319066,0,68,0.264591439688715953307392996109,0,73,0.284046692607003891050583657588,0,67,0.260700389105058365758754863813,1,0,0,213,1028,0.207198443579766536964980544747,79,1028,0.0768482490272373540856031128405,11,69,338
81,4,13,1220703206,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,234,188,132
82,4,14,6103515706,65,0.252918287937743190661478599222,0,71,0.276264591439688715953307392996,0,58,0.225680933852140077821011673152,0,65,0.252918287937743190661478599222,0,70,0.272373540856031128404669260700,0,69,0.268482490272373540856031128405,268,1028,0.260700389105058365758754863813,-2,257,-0.00778210116731517509727626459144,82,311,98
83,4,15,30517578206,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,235,189,133
84,4,16,152587890706,68,0.264591439688715953307392996109,0,71,0.276264591439688715953307392996,0,72,0.280155642023346303501945525292,0,68,0.264591439688715953307392996109,0,74,0.287937743190661478599221789883,0,58,0.225680933852140077821011673152,275,1028,0.267509727626459143968871595331,-3,1028,-0.00291828793774319066147859922179,49,305,100
85,5,0,244,0,0,1,0,0,0,58,0.225680933852140077821011673152,1,0,0,0,61,0.237354085603112840466926070039,1,0,0,119,1028,0.115758754863813229571984435798,-119,1028,-0.115758754863813229571984435798,236,335,73
86,5,1,248,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,237,190,134
87,5,2,268,75,0.291828793774319066147859922179,0,71,0.276264591439688715953307392996,0,70,0.272373540856031128404669260700,0,75,0.291828793774319066147859922179,1,0,0,0,66,0.256809338521400778210116731518,207,1028,0.201361867704280155642023346304,93,1028,0.0904669260700389105058365758755,2,48,360
88,5,3,368,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,238,191,135
89,5,4,868,60,0.233463035019455252918287937743,1,0,0,0,62,0.241245136186770428015564202335,0,60,0.233463035019455252918287937743,0,66,0.256809338521400778210116731518,0,70,0.272373540856031128404669260700,198,1028,0.192607003891050583657587548638,21,514,0.0408560311284046692607003891051,129,123,284
90,5,5,3368,44,0.171206225680933852140077821012,0,50,0.194552529182879377431906614786,0,54,0.210116731517509727626459143969,0,44,0.171206225680933852140077821012,0,47,0.182879377431906614785992217899,1,0,0,151,1028,0.146887159533073929961089494163,25,1028,0.0243190661478599221789883268482,189,141,266
91,5,6,15868,0,0,0,76,0.295719844357976653696498054475,0,59,0.229571984435797665369649805447,1,0,0,0,76,0.295719844357976653696498054475,0,70,0.272373540856031128404669260700,281,1028,0.273346303501945525291828793774,-281,1028,-0.273346303501945525291828793774,239,406,2
92,5,7,78368,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,240,192,136
