h,pair_index,c,d,shift,survival_count,survival_frequency_numerator,survival_frequency_denominator,survival_frequency_decimal,first_winning_k,last_winning_k,longest_consecutive_winning_run,never_wins,wins_every_k,leave_anchor_out_survival_count,leave_anchor_out_frequency_numerator,leave_anchor_out_frequency_denominator,leave_anchor_out_frequency_decimal
-360,17,1,0,4,63,63,257,0.245136186770428015564202334630,-125,123,3,0,0,,,,
-360,19,1,2,28,63,63,257,0.245136186770428015564202334630,-114,127,3,0,0,,,,
-360,20,1,3,128,52,52,257,0.202334630350194552529182879377,-126,128,3,0,0,,,,
-360,21,1,4,628,71,71,257,0.276264591439688715953307392996,-125,127,3,0,0,,,,
-360,23,1,6,15628,59,59,257,0.229571984435797665369649805447,-124,127,2,0,0,,,,
-360,25,1,8,390628,62,62,257,0.241245136186770428015564202335,-126,123,2,0,0,,,,
-360,26,1,9,1953128,49,49,257,0.190661478599221789883268482490,-120,126,2,0,0,,,,
-360,27,1,10,9765628,73,73,257,0.284046692607003891050583657588,-125,126,3,0,0,,,,
-360,29,1,12,244140628,70,70,257,0.272373540856031128404669260700,-122,118,3,0,0,,,,
-360,31,1,14,6103515628,65,65,257,0.252918287937743190661478599222,-126,126,3,0,0,,,,
-360,32,1,15,30517578128,50,50,257,0.194552529182879377431906614786,-126,127,3,0,0,,,,
-360,36,2,2,34,69,69,257,0.268482490272373540856031128405,-126,128,3,0,0,,,,
-360,38,2,4,634,61,61,257,0.237354085603112840466926070039,-127,125,3,0,0,,,,
-360,42,2,8,390634,58,58,257,0.225680933852140077821011673152,-123,128,3,0,0,,,,
-360,44,2,10,9765634,65,65,257,0.252918287937743190661478599222,-127,122,3,0,0,,,,
-360,45,2,11,48828134,49,49,257,0.190661478599221789883268482490,-122,118,3,0,0,,,,
-360,48,2,14,6103515634,76,76,257,0.295719844357976653696498054475,-128,125,3,0,0,,,,
-360,50,2,16,152587890634,69,69,257,0.268482490272373540856031128405,-128,128,3,0,0,,,,
-360,51,3,0,28,63,63,257,0.245136186770428015564202334630,-114,127,3,0,0,,,,
-360,55,3,4,652,72,72,257,0.280155642023346303501945525292,-126,126,3,0,0,,,,
-360,56,3,5,3152,51,51,257,0.198443579766536964980544747082,-128,119,3,0,0,,,,
-360,57,3,6,15652,71,71,257,0.276264591439688715953307392996,-126,127,3,0,0,,,,
-360,59,3,8,390652,64,64,257,0.249027237354085603112840466926,-125,126,3,0,0,,,,
-360,61,3,10,9765652,72,72,257,0.280155642023346303501945525292,-125,127,3,0,0,,,,
-360,62,3,11,48828152,53,53,257,0.206225680933852140077821011673,-120,128,3,0,0,,,,
-360,63,3,12,244140652,71,71,257,0.276264591439688715953307392996,-125,127,3,0,0,,,,
-360,67,3,16,152587890652,65,65,257,0.252918287937743190661478599222,-118,124,3,0,0,,,,
-360,68,4,0,82,72,72,257,0.280155642023346303501945525292,-128,122,3,0,0,,,,
-360,70,4,2,106,66,66,257,0.256809338521400778210116731518,-127,128,3,0,0,,,,
