point_ordinal,mask_index,class_index,point_index,n,T,mask_sha256
162,162,78,1,204852481994,38,32da3bb2ecfd9eb00bc6a1bd097f8e617c23efc536a214757f211baa7a8fb342
163,163,79,1,204894175474,61,adf4b38a8c84f9721e345cb84cddf4f9cee02547a49667efb0736b3ab3e8daf7
164,164,80,1,205291876754,25,3c1300fffd5bfe06dd7a36b68ecc656b5d73d4663afc554aa6fe66c2a1521726
165,165,81,1,205361254874,28,6ca351d0001511dae8f38afdb4c772ab6f33772c354f7ea3ebc65807d6209d10
166,166,82,1,205446050354,29,0c7228f4de4628fbaf494800300016dbb7dc2e17ab4b6b21acb11c58dedc4bea
167,167,83,1,205785232274,25,01a1c813b7dd07cc9be5de28e98a32e50af8145b0a0c269ac10b61055dfc0d59
168,168,0,2,206219662714,52,ff96c7c3f7486792c751ccd83ff29f63dd2274fd580707caec3f3caf764f057b
169,169,1,2,206224627034,33,ab89798265af1bce8e3c33d1f6cfbf5918beda9a833c0f01719a3a9a02407008
170,170,2,2,206375024954,34,936ffc631bb322c13c69c0aac2816d8729a94d03240c94042ea621a4334c589e
171,171,3,2,206463596114,24,fe4f6f9ccc03b7f50d738240a86bce16ac79aeba5a80ef92e0a6f2fcc798ebd2
172,172,4,2,206544615914,36,1b112a0d43c7e254d6f948df3b88c2d6678ebcf000807c2015d64e3781846090
173,173,5,2,206548391594,32,805978f1b19b6f9736d7673b24d8ee61b94966e09fa6f642693c3f7fbc39f57f
174,174,6,2,206717982554,27,8f983862fcc301c72b09955e28cb6aae7125c401ba1827290aca49de55fb6ea4
175,175,7,2,206906952394,66,c0a0d6401cd3d9ee4b6edc75fb42ac1c52a655f64f17b55664c14af8a03178d0
176,176,8,2,207072581834,31,23f865be5846fc3efcb65fa43120495f11400ed31c808001b69cd0108cc015f0
177,177,9,2,207242172794,32,b7de831f102ae3d2488e45b3e2888524c5dd200c760af7002484b3dcb53bdccb
178,178,10,2,207307775234,28,c2123ab2b09f6380c216262db4d7b8d14fe1706b6299564be12c0f8c6890a413
179,179,11,2,207396346394,30,908d41d6f95ef2928233f470b56191f02d58a9e4e109511118f451044ee14968
