pair_index,c,d,shift,exposure_count,winner_count,winner_frequency_numerator,winner_frequency_denominator,winner_frequency_decimal,persistently_covered_class_count,classes_with_at_least_one_win,maximum_within_class_frequency_numerator,maximum_within_class_frequency_denominator,maximum_within_class_frequency_decimal
170,10,0,59050,4671,1224,136,519,0.262042389210019268,0,84,5,14,0.357142857142857143
171,10,1,59054,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
172,10,2,59074,4671,1294,1294,4671,0.277028473560265468,0,84,11,28,0.392857142857142857
173,10,3,59174,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
174,10,4,59674,4671,1324,1324,4671,0.283451081138942411,0,84,3,8,0.375000000000000000
175,10,5,62174,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
176,10,6,74674,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
177,10,7,137174,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
178,10,8,449674,4671,1292,1292,4671,0.276600299721687005,0,84,3,8,0.375000000000000000
179,10,9,2012174,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
180,10,10,9824674,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
181,10,11,48887174,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
182,10,12,244199674,4671,1287,143,519,0.275529865125240848,0,84,11,28,0.392857142857142857
183,10,13,1220762174,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
184,10,14,6103574674,4671,1321,1321,4671,0.282808820381074716,0,84,11,28,0.392857142857142857
185,10,15,30517637174,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
186,10,16,152587949674,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
187,11,0,177148,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
188,11,1,177152,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
189,11,2,177172,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
190,11,3,177272,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
191,11,4,177772,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
192,11,5,180272,4671,1914,638,1557,0.409762363519588953,0,84,29,56,0.517857142857142857
193,11,6,192772,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
194,11,7,255272,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
195,11,8,567772,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
196,11,9,2130272,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
197,11,10,9942772,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
198,11,11,49005272,4671,1872,208,519,0.400770712909441233,0,84,29,56,0.517857142857142857
199,11,12,244317772,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
200,11,13,1220880272,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
201,11,14,6103692772,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
202,11,15,30517755272,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
203,11,16,152588067772,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
204,12,0,531442,4671,1244,1244,4671,0.266324127595803896,0,84,3,8,0.375000000000000000
205,12,1,531446,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
206,12,2,531466,4671,1233,137,519,0.263969171483622351,0,84,3,8,0.375000000000000000
207,12,3,531566,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
208,12,4,532066,4671,1234,1234,4671,0.264183258402911582,0,84,19,55,0.345454545454545455
209,12,5,534566,4671,946,946,4671,0.202526225647612931,0,84,17,56,0.303571428571428571
210,12,6,547066,4671,1266,422,1557,0.271034039820166988,0,84,3,8,0.375000000000000000
211,12,7,609566,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
212,12,8,922066,4671,1227,409,1557,0.262684649967886962,0,84,11,28,0.392857142857142857
213,12,9,2484566,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
214,12,10,10297066,4671,1238,1238,4671,0.265039606080068508,0,84,5,14,0.357142857142857143
215,12,11,49359566,4671,940,940,4671,0.201241704131877542,0,84,9,28,0.321428571428571429
216,12,12,244672066,4671,1248,416,1557,0.267180475272960822,0,84,4,11,0.363636363636363636
217,12,13,1221234566,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
218,12,14,6104047066,4671,1245,415,1557,0.266538214515093128,0,84,23,56,0.410714285714285714
219,12,15,30518109566,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
220,12,16,152588422066,4671,1325,1325,4671,0.283665168058231642,0,84,11,28,0.392857142857142857
221,13,0,1594324,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
222,13,1,1594328,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
223,13,2,1594348,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
224,13,3,1594448,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
225,13,4,1594948,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
226,13,5,1597448,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
227,13,6,1609948,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
228,13,7,1672448,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
229,13,8,1984948,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
230,13,9,3547448,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
231,13,10,11359948,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
232,13,11,50422448,4671,1853,1853,4671,0.396703061442945836,0,84,29,56,0.517857142857142857
233,13,12,245734948,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
234,13,13,1222297448,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
235,13,14,6105109948,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
236,13,15,30519172448,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
237,13,16,152589484948,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
238,14,0,4782970,4671,1290,430,1557,0.276172125883108542,0,84,3,8,0.375000000000000000
239,14,1,4782974,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
240,14,2,4782994,4671,1293,431,1557,0.276814386640976236,0,84,4,11,0.363636363636363636
241,14,3,4783094,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
242,14,4,4783594,4671,1304,1304,4671,0.279169342753157782,0,84,3,8,0.375000000000000000
243,14,5,4786094,4671,990,110,519,0.211946050096339114,0,84,17,55,0.309090909090909091
244,14,6,4798594,4671,1314,146,519,0.281310211946050096,0,84,11,28,0.392857142857142857
245,14,7,4861094,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
246,14,8,5173594,4671,1316,1316,4671,0.281738385784628559,0,84,21,55,0.381818181818181818
247,14,9,6736094,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
248,14,10,14548594,4671,1306,1306,4671,0.279597516591736245,0,84,23,55,0.418181818181818182
249,14,11,53611094,4671,992,992,4671,0.212374223934917577,0,84,19,56,0.339285714285714286
250,14,12,248923594,4671,1283,1283,4671,0.274673517448083922,0,84,21,55,0.381818181818181818
251,14,13,1225486094,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
252,14,14,6108298594,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
253,14,15,30522361094,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
254,14,16,152592673594,4671,1355,1355,4671,0.290087775636908585,0,84,23,55,0.418181818181818182
255,15,0,14348908,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
256,15,1,14348912,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
257,15,2,14348932,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
258,15,3,14349032,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
259,15,4,14349532,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
260,15,5,14352032,4671,1881,209,519,0.402697495183044316,0,84,4,7,0.571428571428571429
261,15,6,14364532,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
262,15,7,14427032,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
263,15,8,14739532,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
264,15,9,16302032,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
265,15,10,24114532,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
266,15,11,63177032,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
267,15,12,258489532,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
268,15,13,1235052032,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
269,15,14,6117864532,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
270,15,15,30531927032,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
271,15,16,152602239532,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
272,16,0,43046722,4671,1240,1240,4671,0.265467779918646971,0,84,4,11,0.363636363636363636
273,16,1,43046726,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
274,16,2,43046746,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
275,16,3,43046846,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
276,16,4,43047346,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
277,16,5,43049846,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
278,16,6,43062346,4671,1229,1229,4671,0.263112823806465425,0,84,4,11,0.363636363636363636
279,16,7,43124846,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
280,16,8,43437346,4671,1228,1228,4671,0.262898736887176194,0,84,3,8,0.375000000000000000
281,16,9,44999846,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
282,16,10,52812346,4671,1256,1256,4671,0.268893170627274674,0,84,23,56,0.410714285714285714
283,16,11,91874846,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
284,16,12,287187346,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
285,16,13,1263749846,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
286,16,14,6146562346,4671,1257,419,1557,0.269107257546563905,0,84,5,14,0.357142857142857143
287,16,15,30560624846,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
288,16,16,152630937346,4671,1276,1276,4671,0.273174909013059302,0,84,21,55,0.381818181818181818
289,17,0,129140164,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
290,17,1,129140168,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
291,17,2,129140188,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
292,17,3,129140288,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
293,17,4,129140788,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
294,17,5,129143288,4671,1872,208,519,0.400770712909441233,0,84,6,11,0.545454545454545455
295,17,6,129155788,4671,0,0,1,0.000000000000000000,0,0,0,1,0.000000000000000000
296,17,7,129218288,0,0,0,1,0.000000000000000000,84,0,0,1,0.000000000000000000
