n,H8,live_projection_digest,full_mask_digest,CRT_class,confirmed_E1_E4_intersection,conservative_superset_intersection,unknown_exposure,confirmed_exact_T_intersection,possible_exact_T_intersection
231407826194,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
239311657514,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
184806015554,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
192709846874,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
200613678194,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
208517509514,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
216421340834,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
224325172154,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
232229003474,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
242391072314,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,759657674,False,UNKNOWN,True,False,UNKNOWN
184498074074,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
192401905394,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,451716194,False,UNKNOWN,True,False,UNKNOWN
